14.000000	01000001011000000000000000000000
-18.000000	11000001100100000000000000000000
88.000000	01000010101100000000000000000000
22.000000	01000001101100000000000000000000
-56.000000	11000010011000000000000000000000
-223.000000	11000011010111110000000000000000
235.000000	01000011011010110000000000000000
6772441.000000	01001010110011101010110110110010
456.000000	01000011111001000000000000000000
-3.000000	11000000010000000000000000000000
3.140000	01000000010010001111010111000011
1.000000	00111111100000000000000000000000
